B2_stim,B2_condition,B2_correct,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B2_stim_text.started,B2_stim_text.stopped,B2_resp.keys,B2_resp.corr,B2_resp.rt,B2_resp.started,B2_resp.stopped,B2_fixation.started,B2_fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Shirt,Nonanimals,j,,,,,0,0,0,150,13.303766500001075,None,f,0,0.6099242000018421,13.303766500001075,None,12.803777799999807,13.287128700001631,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Turtle,Animals,f,,,,,0,1,1,90,14.95356680000259,None,f,1,0.607844500002102,14.95356680000259,None,14.45377930000177,14.937073400000372,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Cereal,Nonanimals,j,,,,,0,2,2,170,16.603730800001358,None,j,1,0.5897145999988425,16.603730800001358,None,16.103764800001954,16.5870356000014,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Sun,Nonanimals,j,,,,,0,3,3,186,18.23686390000148,None,j,1,0.5725370000000112,18.23686390000148,None,17.73703790000218,18.220260100002633,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Sandpaper,Nonanimals,j,,,,,0,4,4,148,19.853675700000167,None,j,1,0.659750200000417,19.853675700000167,None,19.353370100001484,19.836959600001137,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Hatchet,Nonanimals,j,,,,,0,5,5,145,21.553621900002327,None,j,1,0.5758653000011691,21.553621900002327,None,21.053646800002753,21.536869800002023,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Peacock,Animals,f,,,,,0,6,6,66,23.170228200000565,None,f,1,0.751211399998283,23.170228200000565,None,22.670514900000853,23.153571900002134,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Butterfly,Animals,f,,,,,0,7,7,15,24.953555300002336,None,f,1,0.743809899999178,24.953555300002336,None,24.45365640000091,24.93689970000196,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Goose,Animals,f,,,,,0,8,8,43,26.73664650000137,None,f,1,0.6247369000011531,26.73664650000137,None,26.23687840000275,26.72042870000223,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Chisel,Nonanimals,j,,,,,0,9,9,140,28.40370040000198,None,j,1,0.6379605000001902,28.40370040000198,None,27.90348460000314,28.38681910000014,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Pig,Animals,f,,,,,0,10,10,68,30.08677880000323,None,j,0,0.6425663000009081,30.08677880000323,None,29.586779500001285,30.070344400002796,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Raccoon,Animals,f,,,,,0,11,11,73,31.769777299999987,None,f,1,0.5836283999997249,31.769777299999987,None,31.27005840000129,31.753260800000135,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Lion,Animals,f,,,,,0,12,12,54,33.38668840000173,None,f,1,0.526726799998869,33.38668840000173,None,32.88659910000206,33.36999000000287,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Strawberry,Nonanimals,j,,,,,0,13,13,119,34.95335840000189,None,j,1,0.5519601999985753,34.95335840000189,None,34.45321220000187,34.936669800001255,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Coffee Table,Nonanimals,j,,,,,0,14,14,100,36.55333350000001,None,j,1,0.6640805999995791,36.55333350000001,None,36.05332679999992,36.53663180000149,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Axe,Nonanimals,j,,,,,0,15,15,144,38.25329170000259,None,j,1,0.6041967999990447,38.25329170000259,None,37.75328290000107,38.23656110000229,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Monkey,Animals,f,,,,,0,16,16,59,39.90323870000066,None,j,0,0.6181778999998642,39.90323870000066,None,39.40322900000319,39.88656980000087,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Pelican,Animals,f,,,,,0,17,17,67,41.553164500001,None,f,1,0.5681706000032136,41.553164500001,None,41.0531366000032,41.53653680000207,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Socks,Nonanimals,j,,,,,0,18,18,159,43.153116800000134,None,j,1,0.728271500000119,43.153116800000134,None,42.65313790000073,43.13648040000044,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Pants,Nonanimals,j,,,,,0,19,19,151,44.91978190000009,None,j,1,0.6095081999992544,44.91978190000009,None,44.419703800002026,44.903082800003176,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Tie,Nonanimals,j,,,,,0,20,20,157,46.5697465000012,None,j,1,0.5438013999992108,46.5697465000012,None,46.06976150000264,46.55306630000268,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Bird,Animals,f,,,,,0,21,21,9,48.15303219999987,None,f,1,0.616366600002948,48.15303219999987,None,47.65303839999979,48.13638480000009,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Goat,Animals,f,,,,,0,22,22,42,49.80300130000251,None,f,1,0.69444730000032,49.80300130000251,None,49.30301310000141,49.78629240000009,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Fox,Animals,f,,,,,0,23,23,37,51.53631270000187,None,None,0,,51.53631270000187,None,51.036312400003226,51.51964580000276,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Polar Bear,Animals,f,,,,,0,24,24,69,54.03625760000068,53.01959420000276,f,1,0.7571876999973028,54.03625760000068,None,53.53627820000111,54.01956780000182,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Ottoman,Nonanimals,j,,,,,0,25,25,105,55.83618630000274,None,f,0,0.5653012000002491,55.83618630000274,None,55.33640180000293,55.81955580000067,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
Beet,Nonanimals,j,,,,,0,26,26,131,57.4364009000019,None,f,0,0.6213170000009995,57.4364009000019,None,56.93609540000034,57.41974360000313,,001,2019_Oct_01_1446,b2 only,3.1.5,60.03107208277154,
